0,-6.62909e-044
0.01,2.79322e-013
0.02,6.76325e-013
0.03,1.24657e-012
0.04,2.0718e-012
0.05,3.2724e-012
0.06,5.02557e-012
0.07,7.59209e-012
0.08,1.13559e-011
0.09,1.68821e-011
0.1,2.50027e-011
0.11,3.69422e-011
0.12,5.45032e-011
0.13,8.03391e-011
0.14,1.18356e-010
0.15,1.74303e-010
0.16,2.56645e-010
0.17,3.77838e-010
0.18,5.56224e-010
0.19,8.18797e-010
0.2,1.20529e-009
0.21,1.77421e-009
0.22,2.61166e-009
0.23,3.84438e-009
0.24,5.65895e-009
0.25,8.33002e-009
0.26,1.22619e-008
0.27,1.80496e-008
0.28,2.65693e-008
0.29,3.91103e-008
0.3,5.7571e-008
0.31,8.47453e-008
0.32,1.24746e-007
0.33,1.83628e-007
0.34,2.70303e-007
0.35,3.97888e-007
0.36,5.85693e-007
0.37,8.6214e-007
0.38,1.26906e-006
0.39,1.86802e-006
0.4,2.74964e-006
0.41,4.04726e-006
0.42,5.95708e-006
0.43,8.76769e-006
0.44,1.29035e-005
0.45,1.89884e-005
0.46,2.79387e-005
0.47,4.10991e-005
0.48,6.04398e-005
0.49,8.88414e-005
0.5,0.000130502
0.51,0.000191513
0.52,0.000280648
0.53,0.000410429
0.54,0.000598468
0.55,0.000869039
0.56,0.00125465
0.57,0.00179712
0.58,0.00254734
0.59,0.00356287
0.6,0.00490257
0.61,0.00661923
0.62,0.0087518
0.63,0.0113203
0.64,0.0143247
0.65,0.0177482
0.66,0.021562
0.67,0.0257311
0.68,0.0302183
0.69,0.0349877
0.7,0.0400057
